,Date,open,high,low,close,vol tick
563,2019.03.06,147427,147427,146673,147149,107519
564,2019.03.07,147191,147264,145768,145925,108918
565,2019.03.08,145947,146165,144298,144670,129920
566,2019.03.11,144299,146675,143704,146659,131462
567,2019.03.12,146659,147788,144559,145538,153238
568,2019.03.13,145539,148707,145343,148112,129119
569,2019.03.14,148112,148856,147365,148012,138675
570,2019.03.15,148011,148360,147404,148167,113845
571,2019.03.18,148194,148370,146996,147585,102131
572,2019.03.19,147584,148038,147501,147748,96353
573,2019.03.20,147748,148068,145863,145936,131148
574,2019.03.21,145936,146380,144115,145311,137825
575,2019.03.22,145397,145729,144514,145172,138833
576,2019.03.25,145289,145779,144618,145066,143724
577,2019.03.26,145066,146450,144995,146048,123549
578,2019.03.27,146048,146488,145274,145316,153173
579,2019.03.28,145316,145634,144182,144316,144667
580,2019.03.29,144315,145470,143810,144369,130241
581,2019.04.01,144740,146331,144368,145866,115165
582,2019.04.02,145871,146424,144915,146122,118672
583,2019.04.03,146171,147176,146007,146639,116122
584,2019.04.04,146664,146940,145660,145938,102011
585,2019.04.05,145962,146530,145083,145569,91303
586,2019.04.08,145510,145758,145081,145571,85476
587,2019.04.09,145581,146035,144765,145003,94752
588,2019.04.10,145040,145917,144868,145248,90725
589,2019.04.11,145282,145933,145066,145697,91236
590,2019.04.12,145697,146996,145671,146381,92892
591,2019.04.15,146318,146979,146317,146713,68610
592,2019.04.16,146737,146737,145995,146109,91240
593,2019.04.17,146139,146283,145819,146008,88322
594,2019.04.18,146074,146128,145269,145276,94464
595,2019.04.19,145345,145551,145229,145229,197586
596,2019.04.22,145279,145495,145198,145253,38419
597,2019.04.23,145262,145608,144567,144661,83060
598,2019.04.24,144703,145005,144381,144686,95468
599,2019.04.25,144704,144976,143776,143958,96428
600,2019.04.26,143990,144440,143751,144145,101999
601,2019.04.29,144111,144700,144042,144396,72716
602,2019.04.30,144401,145362,144030,145209,111465
603,2019.05.01,145287,145686,145111,145333,90248
604,2019.05.02,145339,145860,145070,145254,120401
605,2019.05.03,145254,146490,144789,146351,120947
606,2019.05.06,145354,145925,144971,145033,131969
607,2019.05.07,145025,145351,143846,144076,133524
608,2019.05.08,144100,144171,143027,143146,152186
609,2019.05.09,143136,143225,142213,142688,146788
610,2019.05.10,142716,143222,142494,142966,164089
611,2019.05.13,142602,142854,141186,141581,142125
612,2019.05.14,141631,142158,141346,141402,119122
613,2019.05.15,141390,141626,140186,140704,136294
614,2019.05.16,140712,140773,140186,140491,114223
615,2019.05.17,140530,140667,139529,139908,139984
616,2019.05.20,140167,140513,139680,139988,113866
617,2019.05.21,140004,141721,139631,140343,131394
618,2019.05.22,140345,140685,139298,139671,119188
619,2019.05.23,139692,139710,138510,138680,143542
620,2019.05.24,138704,139474,138490,138898,128093
621,2019.05.27,139094,139625,138659,138789,108997
622,2019.05.28,138792,138994,138270,138338,141056
623,2019.05.29,138362,138566,137852,138325,143433
624,2019.05.30,138319,138719,138039,138150,116533
625,2019.05.31,138217,138217,136613,136766,163996
626,2019.06.03,136662,137105,136599,136819,150624
627,2019.06.04,136817,137455,136541,137278,151028
628,2019.06.05,137327,137766,137194,137546,150122
629,2019.06.06,137519,137795,136971,137512,147178
630,2019.06.07,137547,138151,137466,137810,140843
631,2019.06.10,138002,138240,137463,137507,124177
632,2019.06.11,137484,138311,137479,138009,140825
633,2019.06.12,138052,138225,137541,137639,147363
634,2019.06.13,137660,137764,137081,137293,130705
635,2019.06.14,137292,137406,136495,136634,151580
636,2019.06.17,136461,136915,135985,136020,112116
637,2019.06.18,136016,136231,135360,136149,165982
638,2019.06.19,136150,136988,135766,136617,156882
639,2019.06.20,136644,137158,136182,136236,198598
640,2019.06.21,136236,136820,135927,136778,180064
641,2019.06.24,136620,137111,136471,136655,133030
642,2019.06.25,136651,136827,135789,135936,161401
643,2019.06.26,135949,136876,135835,136719,161872
644,2019.06.27,136705,137318,136401,136522,152787
645,2019.06.28,136534,137185,136252,137009,136517
646,2019.07.01,136980,137770,136722,137018,152812
647,2019.07.02,137020,137120,135838,135843,136044
648,2019.07.03,135820,135899,135154,135520,122228
649,2019.07.04,135521,135701,135422,135583,75217
650,2019.07.05,135584,136027,135469,135842,124011
651,2019.07.08,135765,136121,135531,136038,40798
652,2019.07.09,136016,136276,135385,135620,76920
653,2019.07.10,135617,136047,135476,135617,95493
654,2019.07.11,135617,136046,135073,135820,91260
655,2019.07.12,135814,136009,135495,135671,79179
656,2019.07.15,135278,135834,134943,135036,73944
657,2019.07.16,135037,135253,133957,134266,92672
658,2019.07.17,134258,134613,133964,134191,80139
659,2019.07.18,134191,134818,133842,134567,97464
